33330 12
4489 9 12132
1084 9 24795
20958 9 31934
4743 9 27477
19059 9 16634
32052 9 4801
16795 9 28011
12689 9 9634
12689 9 24829
20019 9 12689
20208 9 10596
31946 9 12689
12289 9 26982
4801 9 13127
24630 9 28011
21672 9 6954
9550 9 28011
13035 9 15273
28011 9 1112
7618 9 7018
33319 9 30797
24942 9 21273
13755 9 24829
12689 9 13832
12521 9 6362
12689 9 29637
14530 9 858
20325 9 31382
30797 9 22698
4801 9 6908
25301 9 29725
13810 9 17463
7110 9 29209
28011 9 12689
4633 9 12689
21381 9 16684
6954 9 4801
6617 9 9550
9563 9 17463
20019 9 12689
12689 9 15450
12362 9 9509
12289 9 19130
21599 9 4748
12289 9 4049
12689 9 12345
30639 0 8802
21347 9 11967
11274 9 28011
28159 9 15815
24942 9 30350
25197 9 12689
29232 0 21346
13313 9 22037
1611 9 20279
4801 9 31946
7999 9 4139
18214 9 13894
11077 9 28011
12289 9 12689
8409 9 28011
27643 5 17636
12689 9 3231
24285 9 16161
98 9 12689
28011 9 23633
12069 9 27794
9485 9 22251
27821 9 19690
20535 9 26240
23967 9 5238
310 8 16317
12689 9 27477
12689 9 24727
27024 9 12689
28011 9 18936
13551 9 4801
28011 9 31719
29041 9 12689
30434 9 12689
12689 9 6632
28892 0 31170
28540 9 19328
23824 9 28011
26644 11 9263
19211 9 9634
21257 9 17307
12689 9 6927
28011 9 12689
16093 9 29411
28011 9 3409
5197 9 5995
21911 9 15151
9634 9 19211
3914 9 23375
21370 9 12689
369 0 26331
9795 9 28011
31782 9 12689
11725 9 32554
21574 9 12689
906 9 12689
7145 9 15816
17698 9 12806
4637 9 28011
29041 9 19343
21907 9 10227
8968 9 31946
6858 9 20513
2375 9 2725
28011 9 29140
22131 9 587
27477 9 943
30791 11 21510
7695 9 28011
31462 9 18737
28011 9 8514
12689 9 4743
13471 9 28011
30269 9 12689
4637 9 32414
12689 9 7183
28714 9 12689
6931 9 28011
19690 9 16378
10065 9 3276
33066 9 12101
2708 9 28011
4801 9 28011
12689 9 25302
12689 9 12689
27844 9 23855
17376 9 11163
29311 9 12689
28777 9 18269
22062 9 25902
14214 9 7794
29212 5 24888
17140 9 13189
14106 9 31942
28011 9 15520
13697 9 29076
25156 9 12689
28011 9 9419
28011 9 10966
13106 9 98
12289 9 6503
3962 11 30941
6270 9 5894
1743 0 17049
3004 9 15969
16309 9 8466
4193 9 28011
12289 9 12689
25973 9 12046
20160 0 11252
6509 9 18619
12689 9 32005
28011 9 9464
22796 9 28011
27028 9 12806
10227 9 12689
28011 9 18162
13313 9 5182
28011 9 29608
1201 9 26298
28011 9 29846
17698 9 12009
2375 9 17950
20220 5 3635
30194 9 10478
8740 9 12689
7808 9 31370
9823 9 7910
12689 9 16309
9634 9 323
28011 9 21672
21948 9 240
15969 9 7329
26981 9 5606
12826 9 28011
4801 9 31017
29130 7 2792
12689 9 1112
32252 9 28011
28018 6 21810
10918 9 13131
1112 9 28011
6578 9 21847
29279 9 12289
16492 9 28011
13236 9 27028
4801 9 10785
31293 9 25650
29411 9 15984
25197 9 12689
15437 6 1106
420 9 27697
23780 9 12689
12689 9 8402
12689 9 18935
28011 9 29616
9509 9 25659
6100 9 12689
28011 9 3965
13228 9 12289
28011 9 9419
24630 9 28011
7131 9 11063
15862 9 12689
11280 9 4532
28011 9 25554
12362 9 28011
22458 9 6954
12689 9 12087
1482 9 4408
30971 9 30749
10435 9 12689
17861 9 23535
28011 9 28155
12689 9 12289
18988 9 7785
14314 9 18406
9859 9 18193
25229 9 11106
30797 9 13236
30269 9 28011
17755 9 28011
9468 9 18345
20533 2 29972
12689 9 25084
15352 0 16997
29111 11 10227
32049 9 324
30758 9 23612
12362 9 5834
28600 9 27400
33191 9 13228
23034 9 28664
8657 9 3914
12689 9 1201
4801 9 12505
18013 9 9468
12689 9 12689
32528 9 16377
17798 9 12689
11193 9 19732
28926 9 23466
19523 9 12689
28011 9 33046
19211 9 9015
12689 9 27024
7493 9 24517
32309 9 25315
9667 9 10596
28011 9 27892
2254 9 1220
24891 9 28011
1115 9 12689
21911 9 20279
2254 9 10014
31946 9 12689
29527 9 14308
10092 9 4743
9548 9 32049
12689 9 29608
21370 9 17867
21826 9 29953
23855 9 22310
17199 0 12240
12689 9 2446
1451 9 24811
12689 9 27660
17291 9 28011
398 9 17798
16600 9 2973
28011 9 28011
21429 9 8402
12689 9 19415
7651 9 2243
28011 9 8409
25197 9 12362
15520 9 27892
28650 9 14214
28011 9 26442
21872 5 23469
12289 9 3697
28011 9 7563
16579 9 21021
16838 9 27477
25113 9 12689
12689 9 24547
28011 9 28011
22475 9 18471
15722 9 23034
21257 9 10506
19033 9 25833
5790 9 9457
12689 9 3955
28011 9 10523
28540 9 8277
2972 9 25554
12689 9 30828
13131 9 31123
8935 9 28011
24547 9 9634
28011 9 12689
18901 9 28011
28011 9 12390
32215 9 12289
29978 9 33197
28011 9 13410
28011 9 21462
9634 9 29267
1112 9 11462
31437 0 2106
4014 9 27187
29998 9 16458
17207 9 28664
31075 9 9823
24643 9 19025
9457 9 12289
28651 9 18929
11778 9 28926
28259 9 27024
22435 9 3231
12689 9 33245
7814 9 30792
4249 9 12362
28011 9 20222
5538 9 788
2041 9 23466
3448 9 8264
20991 9 276
18471 9 28011
12689 9 8595
32553 9 12689
2507 9 31013
30258 9 32951
28011 9 13493
25222 9 6414
12289 9 28011
25197 9 12689
23490 9 28011
14392 3 4249
30523 9 4014
9634 9 4801
25664 9 26124
4249 9 12274
9267 9 9267
3782 11 14033
10985 9 12689
16093 9 28011
8009 9 8776
12689 9 1721
11799 9 12383
7861 9 28011
23575 9 98
28664 9 25454
6927 0 25232
16684 9 7306
9792 9 4249
19211 9 33245
16121 9 12689
12689 9 12689
27844 9 8904
2955 9 25466
19050 9 5886
4655 9 31368
1944 9 30434
30674 9 12689
15047 0 25907
9593 9 29927
3231 9 6858
12689 9 15273
21892 9 28011
20019 9 28011
10830 9 12689
12689 9 2941
33319 9 1115
19732 9 12689
3972 9 12689
4317 4 11078
28011 9 15695
25946 7 9356
13131 9 7695
12689 9 11213
9457 0 29586
19732 9 28011
19464 9 6016
31922 9 28011
28011 9 12289
1189 9 1695
28011 9 26110
3619 9 10846
28540 9 12289
12689 9 28011
28011 9 12289
25160 9 12289
19063 9 12689
28011 9 16070
3231 9 9669
12362 9 7284
29076 9 30857
2375 9 28011
6908 9 28011
12689 9 14214
9669 9 12362
28011 9 1944
20093 9 7183
6721 9 7131
4249 9 24811
5742 9 31394
27400 9 28011
31229 0 6694
12689 9 12289
12362 9 12689
12289 9 32049
12289 9 28011
28011 9 12689
24592 9 3231
12689 9 6100
28011 9 8240
12383 9 28011
27015 9 31148
12689 9 9015
9834 9 10711
23449 9 29385
12121 9 687
13525 9 25678
12689 9 12362
21907 9 28011
2375 9 9320
8930 8 3750
8101 9 19478
25018 3 5645
21672 9 12121
26031 0 16243
32594 9 3402
20428 0 26705
28011 9 23877
21574 9 28011
12289 9 4801
29092 9 28011
9457 9 14462
22251 9 22251
11193 9 12689
8789 10 25837
19211 9 30726
385 9 28011
22123 9 9397
8402 9 23277
28011 9 33011
12689 9 885
906 9 18557
12689 9 1623
9394 7 9394
9669 9 227
6414 9 4014
28011 9 13048
28777 9 17307
13131 9 22059
98 9 5997
3920 8 2308
12689 9 6786
10904 9 12689
13832 9 30286
11985 7 536
6835 9 26982
12689 9 7808
11426 9 12689
16321 9 19732
14051 9 29086
28011 9 18670
15685 0 25560
12689 9 3231
27953 9 20019
28011 9 6635
7811 9 17957
16121 9 12689
14214 9 6941
18269 9 21908
22099 9 420
10936 0 1085
23746 9 2420
28011 9 11955
18193 9 30726
27892 9 10796
19059 9 3405
18929 9 4647
28946 9 23770
6100 9 22565
29314 9 29038
4743 9 22640
13236 9 25315
28011 9 25945
12689 9 5276
9225 9 10830
10907 9 8920
30018 0 29127
13989 9 21273
17307 9 1482
31337 9 32016
21273 9 19296
858 9 20942
24388 9 28011
2955 9 13534
12689 9 30327
25027 7 20387
17054 9 6824
13184 9 23452
19276 9 3402
14620 9 28011
12689 9 29411
20906 9 11193
22217 5 15631
2641 9 12689
27187 9 29038
17308 9 12689
6100 9 21454
23855 9 12289
27409 9 27409
28011 9 9320
4694 9 8595
11016 9 9809
28006 8 7075
12806 9 27844
28011 9 10846
18471 9 12390
28011 9 2557
30060 5 3567
22679 9 22679
14968 9 25964
16492 9 28011
11426 9 28011
28011 9 18331
12689 9 18714
3405 9 12689
2528 9 323
12689 9 98
10785 9 26036
