33330 12
28651 9 1623
20513 9 906
10971 9 28011
4647 9 29608
32892 9 10097
20942 9 20877
26856 3 4249
14308 9 11213
20237 9 11280
898 8 24258
17524 0 23989
31817 3 16646
9636 9 21257
32994 9 28011
20033 9 1524
25222 9 21672
28011 9 21602
26809 7 14308
9834 9 23855
3972 9 8938
30168 0 766
23449 9 28011
7947 9 28926
13172 11 31098
24698 0 8045
10235 9 20884
21407 0 28475
13240 7 3510
739 5 3013
27373 9 14884
6344 0 17898
7440 3 31955
4536 0 24081
13189 9 13048
10247 9 3859
11213 9 15014
6100 9 8187
16458 9 8785
25 0 18909
25794 6 5692
858 9 15093
2208 11 17014
9756 9 866
29385 4 10714
9518 9 25454
27953 0 1877
11345 0 32307
20933 0 3817
20161 11 19897
25197 9 29411
1479 11 25172
13156 9 12689
28159 9 9149
26479 0 25639
6100 9 8049
10178 9 28011
12289 9 29411
4249 0 32311
16997 3 15352
31263 11 8850
6314 9 32252
26982 9 11379
27772 0 18483
18013 9 8904
30797 9 4185
24948 6 8383
12289 9 28011
3245 9 31075
9267 9 8657
12689 9 5354
12689 9 25833
12689 9 5825
17748 9 7190
6119 11 29170
30217 11 13773
2052 11 8937
21171 11 16044
5485 0 8796
11154 11 27309
11486 11 10754
23542 5 18016
1944 9 6617
86 10 31191
22449 0 8765
20656 6 2670
23305 0 33095
10033 10 14279
11148 9 28011
28011 9 24891
11878 9 13131
12121 1 7804
10583 0 20559
14815 10 28462
13359 9 13832
16382 10 18829
23714 8 11210
11767 11 12957
17698 9 19677
12689 9 11954
21273 9 12689
21370 9 4801
19862 3 32636
13801 9 12689
31782 9 22251
12689 9 5742
21257 9 10381
12689 9 22640
28739 11 4076
13177 3 13493
3126 6 16341
32942 9 23725
31293 9 230
30945 11 7007
3832 0 9675
14374 11 2635
25685 0 28257
12689 9 22640
17748 9 12689
1298 9 28011
4704 11 15225
2375 9 29826
28011 9 1952
12362 9 18737
32863 0 7995
12302 0 14008
30628 0 18693
26760 9 28011
24839 0 28724
21908 9 12919
15646 11 30639
26708 11 1519
17444 0 30271
11222 11 19524
23951 11 9697
22914 9 12689
12689 9 16097
14479 9 12689
8407 9 12689
6437 0 12913
19027 0 2607
27297 10 11480
18629 8 23792
4520 11 2422
1220 0 10034
9603 10 5166
21027 5 10481
7785 9 18740
17494 11 30278
25983 11 11725
17729 9 3972
30539 9 4606
5276 9 15762
25643 11 28764
15393 9 29616
20549 9 18013
15052 5 28270
10596 9 32099
27821 9 2344
4801 9 22982
30245 5 14074
22245 11 18898
18359 9 31934
31242 9 23449
29433 5 9927
8904 9 28011
19763 11 16432
12289 9 6547
22068 9 28011
13829 11 2113
12689 9 12913
21317 6 20123
32624 5 26926
4674 1 7780
27981 11 5127
17017 0 7866
28865 5 24978
4655 9 17254
31469 8 24490
6008 2 15427
30433 11 11227
12689 9 30010
12922 5 7045
26021 5 21003
4433 9 2185
6003 9 26985
28011 9 15579
6503 9 13384
20884 0 6846
8904 9 27669
14705 9 25772
21270 7 13256
19479 11 22724
9419 0 25608
32528 9 4469
3333 11 13477
19965 9 13735
21620 6 7103
4801 9 4839
439 0 29086
12689 9 17830
32598 8 6613
32554 9 28011
25070 0 31187
27380 11 4188
3010 11 19314
18651 0 7566
28011 9 12689
31242 9 12689
17471 8 29186
23066 9 22488
6428 7 21317
30391 1 26616
31389 6 11064
7114 9 28011
16539 3 27259
14662 0 18497
30842 9 14106
7183 9 28011
19276 9 18717
18188 0 22021
12689 9 16093
20417 0 28406
16121 9 1812
8855 0 24110
32561 11 31113
5281 0 3254
15927 7 22463
14013 9 1497
4846 10 31444
18714 9 2792
5939 9 18929
6908 0 3287
12689 9 12362
12087 0 32365
17474 0 544
12689 9 12002
31922 0 21347
13131 9 2375
24888 8 27451
27187 9 13493
24427 9 18013
30460 8 3263
17022 11 904
8147 8 24476
14959 9 6100
8759 9 28011
13533 0 25218
6112 9 4801
12689 9 17698
9634 9 12362
11162 8 14159
28011 9 16684
32885 9 24527
8417 0 6705
28011 9 14214
29062 9 31346
27586 8 10826
32636 0 6169
16434 0 7539
18329 11 11145
21273 9 9634
7306 9 27892
14308 9 12689
31252 0 32803
16680 11 20802
24852 7 19386
18269 9 5276
9634 9 12689
29725 9 4161
24414 9 2375
31542 8 19950
12689 9 9823
12689 9 31088
843 0 16365
6133 8 25888
20850 6 20850
12289 9 558
3613 5 21142
6138 9 27794
20983 11 32016
2875 9 16019
26259 7 6466
13049 0 29656
12655 11 5796
30935 0 4047
22024 11 20160
25472 0 22958
7045 8 12922
6106 5 16343
23466 9 23490
4097 9 14273
22565 9 4801
24629 6 25454
6601 0 17840
2987 11 17611
15775 0 1893
17463 9 21273
21847 9 353
31075 9 545
28011 9 5157
14663 9 227
7479 0 14129
2375 9 8277
2147 11 25472
31382 2 2380
12689 9 12845
264 0 29615
29636 5 31355
24134 11 5796
25710 0 10892
21672 9 10601
1864 8 15979
16470 11 16488
22383 0 25787
13435 0 12420
12289 9 25571
7958 5 25823
12362 9 8466
13127 9 13048
26982 9 21892
27498 9 7808
2641 9 31710
7291 7 7297
22744 5 21220
28011 9 5329
12689 9 16737
30278 0 32078
12689 9 691
22444 9 12689
25197 9 28011
15701 0 10884
12362 9 10755
9244 11 24617
28011 9 10038
12689 9 31979
12689 9 21331
15130 7 6032
21273 9 13466
32943 9 32277
13252 0 19921
18988 9 3697
25302 9 20770
13033 9 28011
13131 9 4917
24525 8 12486
2375 9 19211
17934 6 13934
18546 9 30194
15683 9 1115
29933 11 30044
32918 8 1473
23027 11 24851
23219 11 23282
6186 0 7203
31960 11 25874
18683 5 21765
7874 11 2972
21847 9 28011
20087 11 32440
12289 9 4801
9463 0 1735
8759 9 7940
24839 0 31672
28011 9 3245
19211 9 1663
12363 9 1112
29055 0 22275
1624 9 18013
28890 9 12689
1691 0 5108
23878 9 29725
12289 9 28011
4801 9 12689
18081 9 28011
21537 5 1221
28365 9 28011
27024 9 29076
15244 10 20947
5645 9 4801
20221 3 7933
31536 0 11697
22457 7 846
33319 9 28011
9453 11 24839
11034 0 25509
16712 6 4374
18307 9 15489
25884 11 7190
2787 0 15429
12689 9 9669
227 9 24396
28011 9 227
29842 5 6740
25772 9 18714
24085 10 25141
7651 9 4900
18343 0 25896
28011 9 18737
15246 3 20914
12689 9 19276
14402 9 12689
12602 11 23877
14840 9 19297
32541 11 29700
2913 8 20364
21041 0 31150
12689 9 22780
3619 9 12689
26327 0 18660
28011 9 26124
8670 0 2502
7147 11 25729
906 9 7284
17712 8 3433
30726 9 1264
32737 8 13417
4801 9 12689
13252 0 1868
906 9 11228
26066 0 28147
6853 8 7589
13886 11 31714
16044 0 31596
12689 9 28011
13221 0 18145
13379 5 3918
5309 11 18970
18475 9 7064
25222 9 31382
31142 11 27772
28011 9 12689
24566 5 22359
12289 9 12689
5429 6 8385
30910 0 5390
20411 3 4249
15750 11 16528
5427 9 15090
31289 9 31946
1188 9 13989
18976 9 1112
22770 7 25719
13499 9 420
29331 0 28927
4801 9 5742
31946 9 1326
32943 9 18970
2565 0 15386
10481 8 18947
31725 4 6806
21892 9 28286
25336 5 9673
31384 9 1558
13677 0 10987
18660 8 16587
3354 9 2137
30939 0 32708
9724 4 22050
12689 9 28011
16579 0 25653
12903 11 29131
19415 9 29086
31075 9 4185
2900 0 5289
16326 11 14702
27187 9 18723
21899 0 11462
4850 9 19276
6606 11 25472
8665 5 19166
25659 2 14163
26051 9 18356
28175 11 33259
21388 9 2487
13739 9 15408
693 9 9285
18269 0 16844
17214 10 8660
10171 0 31450
19985 7 18983
6711 9 9189
28011 9 20770
8237 8 4137
17291 9 21847
4185 9 12689
28159 10 897
22724 0 3073
27788 11 15803
22183 9 23855
25417 0 22495
9634 9 3965
12689 9 4249
29284 8 24820
16194 11 27806
20301 11 17539
14106 9 6118
18714 9 858
31782 9 7808
12689 9 22729
4905 9 24517
10971 9 12289
1900 9 5606
21273 9 12689
8780 5 12300
24867 11 32323
8375 9 32859
11596 9 12689
28386 9 9823
4320 8 2631
14244 6 7421
12591 11 11187
3302 0 23962
10523 9 13741
12689 9 16121
858 9 20942
25194 9 7910
22752 11 22724
1578 11 23909
27566 9 14032
14309 5 10481
20788 7 3186
5538 9 5182
5859 0 26351
28011 9 23066
3111 0 6058
28560 11 14662
16378 9 16097
